@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
407,'2022/12/14 12:07:45:334',5,484,549,5
408,'2022/12/14 12:07:45:344',5,482,528,5
409,'2022/12/14 12:07:45:355',5,485,530,5
410,'2022/12/14 12:07:45:365',5,462,540,5
411,'2022/12/14 12:07:45:376',5,462,544,5
412,'2022/12/14 12:07:46:409',5,485,540,5
413,'2022/12/14 12:07:46:420',5,487,548,5
414,'2022/12/14 12:07:46:430',5,489,530,5
415,'2022/12/14 12:07:46:441',5,482,545,5
416,'2022/12/14 12:07:46:451',5,474,544,5
417,'2022/12/14 12:07:46:461',5,483,544,5
418,'2022/12/14 12:07:46:474',5,489,551,5
419,'2022/12/14 12:07:47:507',5,466,545,5
420,'2022/12/14 12:07:47:517',5,485,546,5
421,'2022/12/14 12:07:47:527',5,482,543,5
422,'2022/12/14 12:07:47:538',5,487,522,5
423,'2022/12/14 12:07:47:548',5,489,538,5
424,'2022/12/14 12:07:47:559',5,486,543,5
425,'2022/12/14 12:07:47:569',5,482,538,5
426,'2022/12/14 12:07:48:603',5,493,531,5
427,'2022/12/14 12:07:48:613',5,487,545,5
428,'2022/12/14 12:07:48:623',5,493,545,5
429,'2022/12/14 12:07:48:633',5,479,550,5
430,'2022/12/14 12:07:48:644',5,489,532,5
431,'2022/12/14 12:07:48:654',5,482,540,5
432,'2022/12/14 12:07:48:664',5,493,546,5
433,'2022/12/14 12:07:49:698',5,468,546,5
434,'2022/12/14 12:07:49:708',5,472,531,5
435,'2022/12/14 12:07:49:719',5,469,539,5
436,'2022/12/14 12:07:49:729',5,465,548,5
437,'2022/12/14 12:07:49:739',5,473,543,5
438,'2022/12/14 12:07:49:750',5,492,544,5
439,'2022/12/14 12:07:49:760',5,487,552,5
440,'2022/12/14 12:07:50:793',5,479,526,5
441,'2022/12/14 12:07:50:803',5,496,550,5
442,'2022/12/14 12:07:50:814',5,488,558,5
443,'2022/12/14 12:07:50:824',5,486,553,5
444,'2022/12/14 12:07:50:834',5,467,550,5
445,'2022/12/14 12:07:50:845',5,486,525,5
446,'2022/12/14 12:07:50:855',5,494,543,5
447,'2022/12/14 12:07:51:888',5,476,551,5
448,'2022/12/14 12:07:51:899',5,471,539,5
449,'2022/12/14 12:07:51:908',5,474,523,5
450,'2022/12/14 12:07:51:918',5,482,543,5
451,'2022/12/14 12:07:51:929',5,461,546,5
452,'2022/12/14 12:07:51:939',5,490,546,5
453,'2022/12/14 12:07:51:950',5,487,542,5
454,'2022/12/14 12:07:52:984',5,493,543,5
455,'2022/12/14 12:07:52:994',5,483,535,5
456,'2022/12/14 12:07:53:005',5,488,524,5
457,'2022/12/14 12:07:53:015',5,484,528,5
458,'2022/12/14 12:07:53:025',5,469,538,5
459,'2022/12/14 12:07:53:035',5,486,542,5
460,'2022/12/14 12:07:53:046',5,473,546,5
461,'2022/12/14 12:07:54:081',5,490,522,5
462,'2022/12/14 12:07:54:090',5,489,547,5
463,'2022/12/14 12:07:54:101',5,477,529,5
464,'2022/12/14 12:07:54:112',5,482,555,5
465,'2022/12/14 12:07:54:123',5,489,526,5
466,'2022/12/14 12:07:54:133',5,482,544,5
467,'2022/12/14 12:07:54:144',5,464,549,5
468,'2022/12/14 12:07:55:176',5,491,538,5
469,'2022/12/14 12:07:55:186',5,494,545,5
470,'2022/12/14 12:07:55:196',5,464,543,5
471,'2022/12/14 12:07:55:207',5,493,547,5
472,'2022/12/14 12:07:55:217',5,479,540,5
473,'2022/12/14 12:07:55:228',5,465,549,5
474,'2022/12/14 12:07:55:238',5,488,539,5
475,'2022/12/14 12:07:56:272',5,490,528,5
476,'2022/12/14 12:07:56:282',5,484,547,5
477,'2022/12/14 12:07:56:292',5,480,542,5
478,'2022/12/14 12:07:56:303',5,491,536,5
479,'2022/12/14 12:07:56:313',5,495,525,5
480,'2022/12/14 12:07:56:324',5,464,528,5
481,'2022/12/14 12:07:56:334',5,474,543,5
482,'2022/12/14 12:07:57:369',5,490,544,5
483,'2022/12/14 12:07:57:380',5,490,518,5
484,'2022/12/14 12:07:57:389',5,487,543,5
485,'2022/12/14 12:07:57:400',5,488,548,5
486,'2022/12/14 12:07:57:410',5,484,522,5
487,'2022/12/14 12:07:57:420',5,473,533,5
488,'2022/12/14 12:07:57:431',5,476,551,5
489,'2022/12/14 12:07:58:464',5,490,542,5
490,'2022/12/14 12:07:58:475',5,489,545,5
491,'2022/12/14 12:07:58:484',5,469,548,5
492,'2022/12/14 12:07:58:494',5,480,548,5
493,'2022/12/14 12:07:58:505',5,486,521,5
494,'2022/12/14 12:07:58:515',5,490,549,5
495,'2022/12/14 12:07:58:526',5,490,530,5
496,'2022/12/14 12:07:59:558',5,461,543,5
497,'2022/12/14 12:07:59:569',5,464,540,5
498,'2022/12/14 12:07:59:579',5,490,550,5
499,'2022/12/14 12:07:59:590',5,490,543,5
500,'2022/12/14 12:07:59:600',5,465,547,5
501,'2022/12/14 12:07:59:611',5,466,550,5
502,'2022/12/14 12:07:59:621',5,490,547,5
503,'2022/12/14 12:08:07:786',6,518,958,6
504,'2022/12/14 12:08:07:796',6,515,960,6
505,'2022/12/14 12:08:07:807',6,513,957,6
506,'2022/12/14 12:08:07:817',6,512,955,6
507,'2022/12/14 12:08:07:828',6,539,950,6
508,'2022/12/14 12:08:07:838',6,528,967,6
509,'2022/12/14 12:08:07:848',6,512,965,6
510,'2022/12/14 12:08:08:882',6,520,964,6
511,'2022/12/14 12:08:08:893',6,513,954,6
512,'2022/12/14 12:08:08:903',6,515,960,6
513,'2022/12/14 12:08:08:914',6,533,966,6
514,'2022/12/14 12:08:08:924',6,536,955,6
515,'2022/12/14 12:08:08:934',6,516,959,6
